,periodStartUnix,liquidity,high,low,close,feeGrowthGlobal0X128,feeGrowthGlobal1X128,pool.totalValueLockedUSD,pool.totalValueLockedToken1,pool.totalValueLockedToken0,pool.token0.decimals,pool.token1.decimals
0,1620169200.0,0.0,0.0,0.0,0.0,0.0,0.0,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
1,1620176400.0,4303369674465501.0,3306.0017629191198,3306.0017629191198,3306.0017629191198,0.0,0.0,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
2,1620180000.0,4533369128072615.0,3306.0017629191198,3306.0017629191198,3306.0017629191198,0.0,2.3722040586476213e+34,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
3,1620201600.0,4303369674465501.0,3301.6022216186157,3301.6022216186157,3301.6022216186157,0.0,2.3722040586476213e+34,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
4,1620205200.0,4303369674465501.0,3301.593431337709,3301.593431337709,3301.593431337709,0.0,1.1884742333824583e+37,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5,1620212400.0,4304946248093345.5,3301.5934313377393,3301.593431337709,3301.5934313377393,0.0,1.1908464374411058e+37,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
6,1620216000.0,4304946248093345.5,3343.2195612403298,3343.2195612403298,3343.2195612403298,7.904451003811e+22,1.1908464374411058e+37,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
7,1620234000.0,4552307375120502.0,3343.2195612403298,3343.2195612403298,3343.2195612403298,3.697238188308862e+29,1.1908464374411058e+37,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
8,1620237600.0,1.356086062032274e+16,3430.038479353269,3343.21737846675,3405.6810048057782,1.3155282232808718e+30,1.1251763851228045e+38,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
9,1620241200.0,7.785826663685211e+16,3476.8181144183313,3396.9102812866968,3430.298756668493,2.5046244647862382e+30,3.1454239706682286e+38,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
10,1620244800.0,1.1993676230812634e+17,3481.5299242220235,3424.2127486423915,3459.168469356895,3.3365585436399105e+30,5.787203897985907e+38,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
11,1620248400.0,5.635984740518973e+17,3465.671053126757,3422.669713626441,3422.669713626441,3.657422339638886e+30,7.114421269393918e+38,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
12,1620252000.0,5.641695419565642e+17,3528.6965846109615,3422.060536894076,3507.6067432610052,4.979136299789277e+30,9.313109490804584e+38,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
13,1620255600.0,5.7525212297261184e+17,3540.0181210037604,3497.8703934702794,3521.211883200607,5.637332409100646e+30,1.0848178124494169e+39,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
14,1620259200.0,7.64788920869039e+17,3521.705649520921,3371.525123042921,3474.791265073452,6.612180272532991e+30,1.484021388956074e+39,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
15,1620262800.0,8.354993771217452e+17,3483.956392124356,3445.6386796792963,3483.2486944634143,7.101667126648599e+30,1.6038169294551062e+39,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
